Exception: Couldn't find a tree builder with the features you requested: lxml. Do you need to install a parser library?
         370114 function calls (351434 primitive calls) in 2.634 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.000    0.000 ssl.py:840(SSLObject)
        2    0.000    0.000    0.033    0.016 api.py:1(<module>)
       30    0.000    0.000    0.000    0.000 ipaddress.py:1275(__init__)
       62    0.000    0.000    0.000    0.000 __init__.py:25(__new__)
        1    0.000    0.000    0.000    0.000 quoprimime.py:1(<module>)
        1    0.000    0.000    0.015    0.015 cookiejar.py:1(<module>)
        1    0.000    0.000    0.000    0.000 cookies.py:165(<dictcomp>)
        1    0.000    0.000    0.002    0.002 resources.py:1(<module>)
      190    0.000    0.000    0.000    0.000 dammit.py:134(<genexpr>)
        2    0.000    0.000    0.087    0.043 exceptions.py:1(<module>)
       31    0.000    0.000    0.000    0.000 typing.py:252(_deduplicate)
        1    0.000    0.000    0.019    0.019 url.py:1(<module>)
      311    0.000    0.000    0.000    0.000 css_parser.py:314(get_name)
      112    0.000    0.000    0.000    0.000 {method 'split' of 'str' objects}
       89    0.000    0.000    0.000    0.000 typing.py:1126(<genexpr>)
        1    0.000    0.000    0.000    0.000 threading.py:1(<module>)
        1    0.000    0.000    0.007    0.007 sessions.py:1(<module>)
       13    0.000    0.000    0.000    0.000 sre_compile.py:416(_bytes_to_codes)
        1    0.000    0.000    0.011    0.011 md.py:1(<module>)
       16    0.000    0.000    0.000    0.000 enum.py:165(__prepare__)
       94    0.000    0.000    0.000    0.000 typing.py:514(<genexpr>)
      134    0.000    0.000    0.000    0.000 six.py:92(__init__)
        1    0.000    0.000    0.003    0.003 zipfile.py:1(<module>)
       17    0.000    0.000    0.001    0.000 typing.py:522(Optional)
        1    0.000    0.000    0.001    0.001 parse.py:1(<module>)
      177    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:412(has_location)
    25/24    0.000    0.000    0.000    0.000 {built-in method _abc._abc_subclasscheck}
